Pipeline,AUC,Accuracy,F1 Score,Avg AUC (CV),Avg Accuracy (CV),Avg F1 (CV)
P0_minimal_hp,0.8391313054358154,0.7904680120223272,0.735357917570499,0.8401580688696655,0.7904582583414093,0.73527571718698
P1_hp_avg_reref,0.8017899058823883,0.7711464147702877,0.7040533037201555,0.8019700506707027,0.7711477225529558,0.7031843119698213
P2_hp_notch50,0.8419652979889155,0.7891799055388579,0.7330070690592714,0.8426268561707675,0.7891697817158152,0.7332538377393746
P3_hp_ica_auto,0.8445162300559044,0.7883211678832117,0.7316276537833424,0.8457393996951883,0.7883114126171027,0.7313800934851242
